
ReleaseID: 221-2021-1, ReleaseDate: 2021-05-24 13:28:46.272000+02:00, ReleaseTag: tender
ReleaseID: 2021-058-SA-1, ReleaseDate: 2021-05-24 14:03:46.908000+02:00, ReleaseTag: tender
ReleaseID: 2019-23-1, ReleaseDate: 2021-05-25 08:43:11.686000+02:00, ReleaseTag: contract
ReleaseID: 774087X-1, ReleaseDate: 2021-05-24 08:52:03.078000+02:00, ReleaseTag: contract
ReleaseID: 774087X-1, ReleaseDate: 2021-05-24 08:52:03.078000+02:00, ReleaseTag: award
ReleaseID: 774087X-1, ReleaseDate: 2021-05-25 13:47:34.232000+02:00, ReleaseTag: contract
ReleaseID: 774087X-1, ReleaseDate: 2021-05-25 13:47:34.232000+02:00, ReleaseTag: award
ReleaseID: 002305-2020-1, ReleaseDate: 2021-05-24 09:06:38.830000+02:00, ReleaseTag: contract
ReleaseID: 2021-1026-1, ReleaseDate: 2021-05-25 09:35:01.019000+02:00, ReleaseTag: contract
ReleaseID: 2021-ETSAE0906-00000880E-1, ReleaseDate: 2021-05-25 13:14:06.405000+02:00, ReleaseTag: contract
ReleaseID: TSA000070799-1, ReleaseDate: 2021-05-25 09:45:04.991000+02:00, ReleaseTag: tender
ReleaseID: TSA000070799-1, ReleaseDate: 2021-05-24 08:47:49.960000+02:00, ReleaseTag: tender
ReleaseID: 2021-EA24-00000348E-1, ReleaseDate: 2021-05-24 10:38:56.922000+02:00, ReleaseTag: award
ReleaseID: 1505-2021-1, ReleaseDate: 2021-05-25 11:07:34.603000+02:00, ReleaseTag: award
ReleaseID: JYS-2020-136-1, ReleaseDate: 2021-05-24 12:15:24.878000+02:00, ReleaseTag: award
ReleaseID: M210033-1, ReleaseDate: 2021-05-24 08:05:46.999000+02:00, ReleaseTag: tender
ReleaseID: EMERGECOVID2-79-1, ReleaseDate: 2021-05-25 17:09:31.085000+02:00, ReleaseTag: contract
ReleaseID: Prorroga-AB13-2020-1, ReleaseDate: 2021-05-25 10:28:25.150000+02:00, ReleaseTag: contract
ReleaseID: PMI-5-2021-1, ReleaseDate: 2021-05-24 12:11:06.248000+02:00, ReleaseTag: contract
ReleaseID: 293-2021-1, ReleaseDate: 2021-05-24 11:38:28.538000+02:00, ReleaseTag: tender
ReleaseID: PA-1-2021-1, ReleaseDate: 2021-05-24 18:20:11.809000+02:00, ReleaseTag: award
ReleaseID: 357-2021-Calamonte-1, ReleaseDate: 2021-05-24 14:55:50.837000+02:00, ReleaseTag: tender
ReleaseID: 93-2021-1, ReleaseDate: 2021-05-24 10:31:36.244000+02:00, ReleaseTag: tender
ReleaseID: 93-2021-1, ReleaseDate: 2021-05-24 10:31:36.244000+02:00, ReleaseTag: contract
ReleaseID: 93-2021-1, ReleaseDate: 2021-05-24 12:17:00.485000+02:00, ReleaseTag: tender
ReleaseID: 93-2021-1, ReleaseDate: 2021-05-24 12:17:00.485000+02:00, ReleaseTag: contract
ReleaseID: 20218621030-1, ReleaseDate: 2021-05-24 14:49:18.422000+02:00, ReleaseTag: tender
ReleaseID: PMI-10-2021-1, ReleaseDate: 2021-05-25 10:10:27.481000+02:00, ReleaseTag: contract
ReleaseID: 701-2020-1, ReleaseDate: 2021-05-25 15:05:19.574000+02:00, ReleaseTag: award
ReleaseID: E--77-HMS-2020-1, ReleaseDate: 2021-05-24 13:35:20.382000+02:00, ReleaseTag: contract
ReleaseID: VI-21-01-S-1, ReleaseDate: 2021-05-24 14:55:08.240000+02:00, ReleaseTag: tender
ReleaseID: 2021-O00001-1, ReleaseDate: 2021-05-25 13:47:32.842000+02:00, ReleaseTag: contract
ReleaseID: Covid107-1, ReleaseDate: 2021-05-24 08:05:07.978000+02:00, ReleaseTag: contract
ReleaseID: Divertia-Comunicacion-Mayor-14-2021-1, ReleaseDate: 2021-05-24 12:20:38.527000+02:00, ReleaseTag: tender
ReleaseID: 03-21-1, ReleaseDate: 2021-05-24 11:23:59.024000+02:00, ReleaseTag: contract
ReleaseID: PA-6-21-1, ReleaseDate: 2021-05-24 09:02:53.737000+02:00, ReleaseTag: award
ReleaseID: 2021-AR43U-00000309E-1, ReleaseDate: 2021-05-24 13:52:00.439000+02:00, ReleaseTag: tender
ReleaseID: XX-C-2021-09-1, ReleaseDate: 2021-05-24 10:07:33.635000+02:00, ReleaseTag: contract
ReleaseID: GIE-54-2021--CONMY-2021-1800000577-1, ReleaseDate: 2021-05-25 13:21:44.830000+02:00, ReleaseTag: tender
ReleaseID: 2020-000082-1, ReleaseDate: 2021-05-24 13:17:59.848000+02:00, ReleaseTag: award
ReleaseID: GMZ-12-2021-1, ReleaseDate: 2021-05-25 09:59:51.847000+02:00, ReleaseTag: contract
ReleaseID: 50-F-21-SU-GE-N-070-1-1, ReleaseDate: 2021-05-25 15:25:58.504000+02:00, ReleaseTag: award
ReleaseID: 202100000041-1, ReleaseDate: 2021-05-25 09:50:14.767000+02:00, ReleaseTag: tender
ReleaseID: 202100000041-1, ReleaseDate: 2021-05-24 13:13:55.755000+02:00, ReleaseTag: tender
ReleaseID: 13-2021-OBERT-SUBM-1, ReleaseDate: 2021-05-24 13:46:44.345000+02:00, ReleaseTag: award
ReleaseID: 21M025-1, ReleaseDate: 2021-05-25 09:42:28.575000+02:00, ReleaseTag: award
ReleaseID: 2021-EA23-00000617E-1, ReleaseDate: 2021-05-25 13:58:21.167000+02:00, ReleaseTag: tender
ReleaseID: 86-20-C-1, ReleaseDate: 2021-05-25 08:34:41.062000+02:00, ReleaseTag: contract
ReleaseID: CON_PR-ABR-2021000025-1, ReleaseDate: 2021-05-24 14:57:48.259000+02:00, ReleaseTag: tender
ReleaseID: 20-SU-113-2, ReleaseDate: 2021-05-24 15:06:54.160000+02:00, ReleaseTag: contract
ReleaseID: IVF-07-21-1, ReleaseDate: 2021-05-25 13:37:46.423000+02:00, ReleaseTag: contract
ReleaseID: AH_2101-1, ReleaseDate: 2021-05-25 09:46:14.722000+02:00, ReleaseTag: contract
ReleaseID: 1-2020-CO-1, ReleaseDate: 2021-05-25 14:18:04.942000+02:00, ReleaseTag: award
ReleaseID: 3272-2021-1, ReleaseDate: 2021-05-25 09:27:07.327000+02:00, ReleaseTag: planning
ReleaseID: 2021-EA24-00000072E-1, ReleaseDate: 2021-05-24 13:42:54.097000+02:00, ReleaseTag: contract
ReleaseID: POSA-2021-00016-1, ReleaseDate: 2021-05-24 08:59:19.986000+02:00, ReleaseTag: tender
ReleaseID: 1699-2021-1, ReleaseDate: 2021-05-24 12:28:58.491000+02:00, ReleaseTag: award
ReleaseID: 9513-2021-1, ReleaseDate: 2021-05-25 12:22:03.733000+02:00, ReleaseTag: tender
ReleaseID: 06-21-1, ReleaseDate: 2021-05-25 11:35:50.620000+02:00, ReleaseTag: tender
ReleaseID: CS-1100-1100999210-21-PASU-1, ReleaseDate: 2021-05-24 10:17:10.307000+02:00, ReleaseTag: award
ReleaseID: MOT---5000029005--EQUIPOS-DE-LIMPIEZA-1, ReleaseDate: 2021-05-25 08:59:59.013000+02:00, ReleaseTag: award
ReleaseID: 020020C00084-1, ReleaseDate: 2021-05-25 09:42:13.210000+02:00, ReleaseTag: award
ReleaseID: 50-F-21-SU-GE-N-070-3-1, ReleaseDate: 2021-05-25 15:32:58.239000+02:00, ReleaseTag: award
ReleaseID: Z21FP001-050-1, ReleaseDate: 2021-05-24 14:41:18.674000+02:00, ReleaseTag: tender
ReleaseID: SU-2019-7-1, ReleaseDate: 2021-05-24 15:55:08.955000+02:00, ReleaseTag: contract
ReleaseID: 473-2021-1, ReleaseDate: 2021-05-25 10:34:10.729000+02:00, ReleaseTag: award
ReleaseID: A2021-001417-1, ReleaseDate: 2021-05-25 08:54:20.109000+02:00, ReleaseTag: award
ReleaseID: 57-T-21-SU-GE-A-018-1, ReleaseDate: 2021-05-24 11:06:14.560000+02:00, ReleaseTag: tender
ReleaseID: 3-19-41110-0106-1, ReleaseDate: 2021-05-24 08:05:09.346000+02:00, ReleaseTag: contract
ReleaseID: 743-2021-1, ReleaseDate: 2021-05-25 14:08:12.642000+02:00, ReleaseTag: tender
ReleaseID: 1370-2021-1, ReleaseDate: 2021-05-24 12:20:38.559000+02:00, ReleaseTag: contract
ReleaseID: 50-2021-1, ReleaseDate: 2021-05-24 13:01:09.787000+02:00, ReleaseTag: tender
ReleaseID: 70-2021-1, ReleaseDate: 2021-05-25 09:29:40.887000+02:00, ReleaseTag: tender
ReleaseID: 70-2021-1, ReleaseDate: 2021-05-25 09:29:40.887000+02:00, ReleaseTag: award
ReleaseID: 70-2021-1, ReleaseDate: 2021-05-24 09:38:03.288000+02:00, ReleaseTag: tender
ReleaseID: 70-2021-1, ReleaseDate: 2021-05-24 09:38:03.288000+02:00, ReleaseTag: award
ReleaseID: TSA000068470-14-1, ReleaseDate: 2021-05-25 11:34:19.492000+02:00, ReleaseTag: award
ReleaseID: 2021-000248-1, ReleaseDate: 2021-05-25 09:50:37.636000+02:00, ReleaseTag: tender
ReleaseID: 2021-000248-1, ReleaseDate: 2021-05-24 08:15:40.620000+02:00, ReleaseTag: tender
ReleaseID: UGR-2021-0043-1, ReleaseDate: 2021-05-24 10:36:07.464000+02:00, ReleaseTag: tender
ReleaseID: 172-2021-1, ReleaseDate: 2021-05-24 14:11:34.970000+02:00, ReleaseTag: tender
ReleaseID: 4MASUM-2021-1, ReleaseDate: 2021-05-25 12:05:38.652000+02:00, ReleaseTag: tender
ReleaseID: 4MASUM-2021-1, ReleaseDate: 2021-05-24 12:08:14.683000+02:00, ReleaseTag: tender
ReleaseID: HUSE-12-21-PA-1, ReleaseDate: 2021-05-25 10:24:25.816000+02:00, ReleaseTag: award
ReleaseID: LSV172021-1, ReleaseDate: 2021-05-25 11:13:48.992000+02:00, ReleaseTag: contract
ReleaseID: 04121-PAS-1, ReleaseDate: 2021-05-24 12:29:30.798000+02:00, ReleaseTag: tender
ReleaseID: -588-2020B-1, ReleaseDate: 2021-05-25 09:50:01.330000+02:00, ReleaseTag: contract
ReleaseID: 2021-966-1, ReleaseDate: 2021-05-24 14:50:32.623000+02:00, ReleaseTag: tender
ReleaseID: 09-87-2021-00009-1, ReleaseDate: 2021-05-24 10:41:06.528000+02:00, ReleaseTag: award
ReleaseID: MY20-VCS-O-99-1, ReleaseDate: 2021-05-25 13:16:51.860000+02:00, ReleaseTag: award
ReleaseID: EMERGECOVID2-68-1, ReleaseDate: 2021-05-25 08:05:54.133000+02:00, ReleaseTag: contract
ReleaseID: ALC-CSM-05-2021-277-2021-1, ReleaseDate: 2021-05-24 14:18:22.125000+02:00, ReleaseTag: tender
ReleaseID: 10562-2021-1, ReleaseDate: 2021-05-25 12:57:28.784000+02:00, ReleaseTag: tender
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 11:58:33.453000+02:00, ReleaseTag: award
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 11:58:33.453000+02:00, ReleaseTag: tender
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 11:58:33.453000+02:00, ReleaseTag: contract
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 12:29:30.671000+02:00, ReleaseTag: award
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 12:29:30.671000+02:00, ReleaseTag: tender
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 12:29:30.671000+02:00, ReleaseTag: contract
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 16:41:29.851000+02:00, ReleaseTag: award
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 16:41:29.851000+02:00, ReleaseTag: tender
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-25 16:41:29.851000+02:00, ReleaseTag: contract
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 07:51:48.131000+02:00, ReleaseTag: award
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 07:51:48.131000+02:00, ReleaseTag: tender
ReleaseID: 1-2021-2, ReleaseDate: 2021-05-24 07:51:48.131000+02:00, ReleaseTag: contract
ReleaseID: SER-21-0121-AJP-1, ReleaseDate: 2021-05-24 08:55:16.922000+02:00, ReleaseTag: contract
ReleaseID: 2021-006902-1, ReleaseDate: 2021-05-25 15:34:11.810000+02:00, ReleaseTag: award
ReleaseID: 2912-2021-1, ReleaseDate: 2021-05-24 08:51:37.499000+02:00, ReleaseTag: tender
ReleaseID: 02-07-01-01-2020-366-SS_REYES-1, ReleaseDate: 2021-05-25 13:32:44.287000+02:00, ReleaseTag: tender
ReleaseID: 1-21-1, ReleaseDate: 2021-05-25 10:33:49.211000+02:00, ReleaseTag: tender
ReleaseID: 2191SE5CT147-1, ReleaseDate: 2021-05-25 12:25:10.339000+02:00, ReleaseTag: tender
ReleaseID: 52-UC-9-21-1, ReleaseDate: 2021-05-25 12:49:08.664000+02:00, ReleaseTag: contract
ReleaseID: CP00092-2020-1, ReleaseDate: 2021-05-25 09:40:38.458000+02:00, ReleaseTag: tender
ReleaseID: DNA-68-2019-1, ReleaseDate: 2021-05-25 04:11:26.803000+02:00, ReleaseTag: contract
ReleaseID: 2021-004214-1, ReleaseDate: 2021-05-25 09:04:54.602000+02:00, ReleaseTag: contract
ReleaseID: 460-2020-1, ReleaseDate: 2021-05-24 09:57:27.005000+02:00, ReleaseTag: contract
ReleaseID: 75-20-1, ReleaseDate: 2021-05-25 11:36:03.334000+02:00, ReleaseTag: award
ReleaseID: 43021801-1, ReleaseDate: 2021-05-24 10:45:09.031000+02:00, ReleaseTag: contract
ReleaseID: 5391-2021-1, ReleaseDate: 2021-05-25 12:03:19.934000+02:00, ReleaseTag: tender
ReleaseID: TSA000070617-1, ReleaseDate: 2021-05-25 13:17:58.838000+02:00, ReleaseTag: contract
ReleaseID: 2021-AR21U-00000223--2021-AR21U-00000223E--1, ReleaseDate: 2021-05-24 12:00:39.089000+02:00, ReleaseTag: tender
ReleaseID: EC-66-19-1, ReleaseDate: 2021-05-24 13:10:28.671000+02:00, ReleaseTag: award
ReleaseID: SU-2020-7881-1, ReleaseDate: 2021-05-24 11:56:36.661000+02:00, ReleaseTag: award
ReleaseID: 2021_021-1, ReleaseDate: 2021-05-25 10:06:59.297000+02:00, ReleaseTag: award
ReleaseID: N202100336-1, ReleaseDate: 2021-05-25 07:59:41.535000+02:00, ReleaseTag: tender
ReleaseID: 2021-AR40U-00000531E-1, ReleaseDate: 2021-05-24 14:59:32.431000+02:00, ReleaseTag: contract
ReleaseID: LS042021-1, ReleaseDate: 2021-05-25 14:10:33.819000+02:00, ReleaseTag: tender
ReleaseID: 50-F-21-SU-GE-N-068-8-1, ReleaseDate: 2021-05-25 13:44:08.106000+02:00, ReleaseTag: award
ReleaseID: LICT-99-029-2020-0004-2, ReleaseDate: 2021-05-25 15:06:04.400000+02:00, ReleaseTag: award
ReleaseID: A2021-004501-1, ReleaseDate: 2021-05-25 14:54:49.222000+02:00, ReleaseTag: award
ReleaseID: 730-2019-00001-AM4-L1-R018-1, ReleaseDate: 2021-05-24 17:06:17.857000+02:00, ReleaseTag: award
ReleaseID: Divertia-Turismo-Mayor-10-2021-1, ReleaseDate: 2021-05-24 11:24:52.099000+02:00, ReleaseTag: tender
ReleaseID: conc-245-expte-4-2021-2-06-141--1, ReleaseDate: 2021-05-25 14:44:06.221000+02:00, ReleaseTag: contract
ReleaseID: 101-2018-06265_L2_CB3-1, ReleaseDate: 2021-05-24 16:58:22.893000+02:00, ReleaseTag: award
ReleaseID: OBR1589-2021-1, ReleaseDate: 2021-05-25 17:21:22.956000+02:00, ReleaseTag: award
ReleaseID: TFS-8-2021-1, ReleaseDate: 2021-05-24 12:19:25.075000+02:00, ReleaseTag: contract
ReleaseID: 4385-2021-1, ReleaseDate: 2021-05-25 14:07:42.497000+02:00, ReleaseTag: tender
ReleaseID: 3-20-27520-0090-1, ReleaseDate: 2021-05-24 14:09:05.849000+02:00, ReleaseTag: tender
ReleaseID: 12-2020-1, ReleaseDate: 2021-05-25 10:45:12.794000+02:00, ReleaseTag: contract
ReleaseID: SM07-21-1, ReleaseDate: 2021-05-24 14:15:39.898000+02:00, ReleaseTag: award
ReleaseID: 24-21-1, ReleaseDate: 2021-05-24 12:46:02.195000+02:00, ReleaseTag: tender
ReleaseID: DGRE-4248-COVID-19-1, ReleaseDate: 2021-05-25 09:45:25.880000+02:00, ReleaseTag: contract
ReleaseID: 169-2021-1, ReleaseDate: 2021-05-25 08:55:23.856000+02:00, ReleaseTag: tender
ReleaseID: 169-2021-1, ReleaseDate: 2021-05-25 08:55:23.856000+02:00, ReleaseTag: contract
ReleaseID: 169-2021-1, ReleaseDate: 2021-05-25 10:14:35.942000+02:00, ReleaseTag: tender
ReleaseID: 169-2021-1, ReleaseDate: 2021-05-25 10:14:35.942000+02:00, ReleaseTag: contract
ReleaseID: 1314-2020-1, ReleaseDate: 2021-05-24 12:19:04.951000+02:00, ReleaseTag: contract
ReleaseID: 2165-2021-1, ReleaseDate: 2021-05-24 08:35:34.959000+02:00, ReleaseTag: contract
ReleaseID: 361-2021-1, ReleaseDate: 2021-05-24 18:14:06.290000+02:00, ReleaseTag: tender
ReleaseID: 2021-20-1, ReleaseDate: 2021-05-25 14:57:45.981000+02:00, ReleaseTag: planning
ReleaseID: 4701-2021-1, ReleaseDate: 2021-05-25 09:49:57.113000+02:00, ReleaseTag: tender
ReleaseID: 2021-JCMDEF-00000070E--1, ReleaseDate: 2021-05-25 09:46:10.509000+02:00, ReleaseTag: planning
ReleaseID: G-2020-03-0020-1, ReleaseDate: 2021-05-24 08:05:40.093000+02:00, ReleaseTag: contract
ReleaseID: CON-3644-1, ReleaseDate: 2021-05-25 12:53:21.388000+02:00, ReleaseTag: tender
ReleaseID: 11790-2017-1, ReleaseDate: 2021-05-25 08:58:50.817000+02:00, ReleaseTag: contract
ReleaseID: CG-2021-2751-0001-1, ReleaseDate: 2021-05-24 09:41:35.384000+02:00, ReleaseTag: contract
ReleaseID: 2021-032-1, ReleaseDate: 2021-05-25 10:43:35.504000+02:00, ReleaseTag: tender
ReleaseID: 2021-0013-SU-002-1, ReleaseDate: 2021-05-25 09:43:27.063000+02:00, ReleaseTag: award
ReleaseID: 2020-006-SER-ABR-MC-1, ReleaseDate: 2021-05-25 14:03:05.609000+02:00, ReleaseTag: award
ReleaseID: 1151-2021-1, ReleaseDate: 2021-05-25 12:18:52.654000+02:00, ReleaseTag: tender
ReleaseID: 002-21-SP-1, ReleaseDate: 2021-05-24 08:05:32.534000+02:00, ReleaseTag: contract
ReleaseID: 21-032-OB-1, ReleaseDate: 2021-05-25 13:46:41.678000+02:00, ReleaseTag: award
ReleaseID: 1-2021-6, ReleaseDate: 2021-05-25 10:56:33.569000+02:00, ReleaseTag: tender
ReleaseID: 2021-SP03032003-00000831E-1, ReleaseDate: 2021-05-25 15:27:35.026000+02:00, ReleaseTag: tender
ReleaseID: OC-2021-012-1, ReleaseDate: 2021-05-24 13:18:59.680000+02:00, ReleaseTag: contract
ReleaseID: 17604-2021-1, ReleaseDate: 2021-05-24 13:03:51.108000+02:00, ReleaseTag: award
ReleaseID: 3-20-27520-0142-1, ReleaseDate: 2021-05-25 17:23:13.520000+02:00, ReleaseTag: award
ReleaseID: GRHUSA-EXP-N-o-06-2021-1, ReleaseDate: 2021-05-25 10:49:23.134000+02:00, ReleaseTag: award
ReleaseID: VLC-64-2021-1, ReleaseDate: 2021-05-25 10:14:10.022000+02:00, ReleaseTag: contract
ReleaseID: 21-001787-1, ReleaseDate: 2021-05-24 08:51:32.489000+02:00, ReleaseTag: tender
ReleaseID: L-CPS-PA-5-2021-1, ReleaseDate: 2021-05-24 08:05:08.867000+02:00, ReleaseTag: tender
ReleaseID: PRO11-2021-4136-1, ReleaseDate: 2021-05-24 13:45:19.573000+02:00, ReleaseTag: contract
ReleaseID: P4101700E-2021-000014-PEA-1, ReleaseDate: 2021-05-25 14:13:24.346000+02:00, ReleaseTag: award
ReleaseID: CSERV22-19C-1, ReleaseDate: 2021-05-25 09:59:31.543000+02:00, ReleaseTag: contract
ReleaseID: CO-OE-21-010-1, ReleaseDate: 2021-05-24 08:16:30.389000+02:00, ReleaseTag: tender
ReleaseID: 347-2021-1, ReleaseDate: 2021-05-25 14:12:44.874000+02:00, ReleaseTag: tender
ReleaseID: HUSE-33-21-PR-1, ReleaseDate: 2021-05-25 14:26:30.968000+02:00, ReleaseTag: award
ReleaseID: 04101-2018-97-Ser-1, ReleaseDate: 2021-05-25 14:09:22.262000+02:00, ReleaseTag: tender
ReleaseID: 2021040-ASE-1, ReleaseDate: 2021-05-25 12:35:19.193000+02:00, ReleaseTag: award
ReleaseID: 2021ETSAE090600000681E-1, ReleaseDate: 2021-05-25 12:26:17.570000+02:00, ReleaseTag: contract
ReleaseID: TRANSPORTE-COVID19-GC-JULIO2020-1, ReleaseDate: 2021-05-24 14:35:12.349000+02:00, ReleaseTag: contract
ReleaseID: 1129-2021-1, ReleaseDate: 2021-05-25 13:55:43.633000+02:00, ReleaseTag: tender
ReleaseID: 2345-2020-1, ReleaseDate: 2021-05-24 13:23:59.776000+02:00, ReleaseTag: contract
ReleaseID: 2021-0-14--2020011479--1, ReleaseDate: 2021-05-24 08:26:29.837000+02:00, ReleaseTag: tender
ReleaseID: CMAYOR-2018-01Y30-63-1, ReleaseDate: 2021-05-24 07:30:42.219000+02:00, ReleaseTag: tender
ReleaseID: 2-21-05110-0056-1, ReleaseDate: 2021-05-25 14:10:56.977000+02:00, ReleaseTag: tender
ReleaseID: 2021-CS00036-1, ReleaseDate: 2021-05-25 11:51:35.864000+02:00, ReleaseTag: tender
ReleaseID: 1266_LANS_SU_1220-1, ReleaseDate: 2021-05-24 14:17:18.862000+02:00, ReleaseTag: tender
ReleaseID: P02-2021-1, ReleaseDate: 2021-05-25 09:46:13.855000+02:00, ReleaseTag: tender
ReleaseID: PIC2021_27649-1, ReleaseDate: 2021-05-25 15:02:02.891000+02:00, ReleaseTag: tender
ReleaseID: 2021-ETSAE0226-00002551E-1, ReleaseDate: 2021-05-24 11:52:28.507000+02:00, ReleaseTag: award
ReleaseID: 202117000001-1, ReleaseDate: 2021-05-25 10:39:21.459000+02:00, ReleaseTag: award
ReleaseID: 042021-1, ReleaseDate: 2021-05-24 13:09:46.148000+02:00, ReleaseTag: contract
ReleaseID: 851-2020-100-1, ReleaseDate: 2021-05-25 09:42:05.067000+02:00, ReleaseTag: contract
ReleaseID: AVS-04203-21-14-1, ReleaseDate: 2021-05-25 11:50:29.954000+02:00, ReleaseTag: tender
ReleaseID: 2021-0044-1, ReleaseDate: 2021-05-25 17:27:14.339000+02:00, ReleaseTag: contract
ReleaseID: CON-8-2021-1, ReleaseDate: 2021-05-24 09:13:42.150000+02:00, ReleaseTag: award
ReleaseID: 15-2020-1, ReleaseDate: 2021-05-25 09:46:03.480000+02:00, ReleaseTag: award
ReleaseID: 06-INV-003-2021-1, ReleaseDate: 2021-05-25 14:50:07.207000+02:00, ReleaseTag: tender
ReleaseID: 2235-2021-1, ReleaseDate: 2021-05-24 11:21:04.813000+02:00, ReleaseTag: contract
ReleaseID: 8-2021-BIS-1, ReleaseDate: 2021-05-25 14:41:58.320000+02:00, ReleaseTag: award
ReleaseID: SUMIN-ABR-2021000024-1, ReleaseDate: 2021-05-25 12:32:29.152000+02:00, ReleaseTag: tender
ReleaseID: 99-3216-21-1-1, ReleaseDate: 2021-05-25 11:53:20.111000+02:00, ReleaseTag: tender
ReleaseID: 11-2021-CON-1, ReleaseDate: 2021-05-25 13:06:29.154000+02:00, ReleaseTag: award
ReleaseID: 5688-2020-1, ReleaseDate: 2021-05-25 08:49:03.230000+02:00, ReleaseTag: contract
ReleaseID: 019-SER-2021-1, ReleaseDate: 2021-05-25 12:13:08.648000+02:00, ReleaseTag: tender
